altitude (m),density (kg/m^3),speed of sound ms^-1,pressure (Pa)
0,1.225,340.3,101325
1000,1.11164,336.4,89874.6
2000,1.00649,332.5,79495.2
3000,0.909122,328.6,70108.5
4000,0.819129,324.6,61640.2
5000,0.736116,320.6,54019.9
6000,0.659697,316.428,47181
7000,0.589501,312.3,41060.7
8000,0.525168,308.063,35599.8
9000,0.466348,303.793,30742.5
10000,0.412707,299.5,26436.3
11000,0.363918,295.07,22632.1
12000,0.310828,295.07,19330.4
13000,0.265483,295.07,16510.4
14000,0.226753,295.07,14101.8
15000,0.193674,295.1,12044.6
16000,0.16542,295.1,10287.5
17000,0.141288,295.1,8786.68
18000,0.120676,295.1,7504.84
19000,0.103071,295.1,6410.01
20000,0.0880349,295.1,5474.89
21000,0.0748737,295.75,4677.89
22000,0.0637273,296.428,3999.79
23000,0.0542803,297.105,3422.43
24000,0.0462674,297.781,2930.49
25000,0.0394658,298.4,2511.02
26000,0.0336882,299.128,2153.09
27000,0.0287769,299.799,1847.46
28000,0.0245988,300.468,1586.29
29000,0.021042,301.136,1362.96
30000,0.0180119,301.803,1171.87
31000,0.0154288,302.468,1008.23
32000,0.013225,303.131,868.019
33000,0.011262,304.982,748.228
34000,0.00960889,306.821,646.122
35000,0.00821392,308.649,558.924
36000,0.00703441,310.467,484.317
37000,0.00603513,312.274,420.367
38000,0.00518691,314.07,365.455
39000,0.00446557,315.856,318.22
40000,0.00385101,317.633,277.522
41000,0.00332648,319.399,242.395
42000,0.00287802,321.156,212.03
43000,0.00249393,322.903,185.738
44000,0.00216443,324.641,162.937
45000,0.00188129,326.369,143.135
46000,0.0016376,328.088,125.91
47000,0.00142753,329.799,110.906
48000,0.00125825,329.799,97.7545
49000,0.00110904,329.799,86.1623
50000,0.000977525,329.799,75.9448
51000,0.000861606,329.799,66.9389
52000,0.000766867,328.088,58.9622
53000,0.00068171,326.369,51.8668
54000,0.000605252,324.641,45.5632
55000,0.000536684,322.903,39.97
56000,0.000475263,321.156,35.0137
57000,0.000420311,319.399,30.6274
58000,0.000371207,317.633,26.7509
59000,0.000327382,315.856,23.3296
60000,0.000288321,314.07,20.3143
61000,0.00025355,312.274,17.6606
62000,0.00022264,310.467,15.3287
63000,0.0001952,308.649,13.2826
64000,0.000170875,306.821,11.49
65000,0.000149342,304.982,9.92203
66000,0.000130308,303.131,8.55275
67000,0.00011351,301.269,7.35895
68000,9.87E-05,299.396,6.31992
69000,8.57E-05,297.511,5.41717
70000,7.42E-05,295.614,4.63422
71000,6.42E-05,293.704,3.95642
72000,5.52E-05,292.333,3.37176
73000,4.74E-05,290.955,2.86917
74000,4.07E-05,289.57,2.43773
75000,3.49E-05,288.179,2.06792
76000,2.98E-05,286.781,1.7514
77000,2.55E-05,285.377,1.48092
78000,2.17E-05,283.965,1.25012
79000,1.85E-05,282.546,1.05351
80000,1.57E-05,281.12,0.88628
